In addition to the standard errors in the tables, the flux densities involves ~3-5% systematic errors.

J1256-0547 (3C 279)
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2021-02-07 06:58 | 233.0 |  2.17 (0.03) |   0.20 (0.02) |  -0.09 (0.00) |   9.91 (0.54) | -12.45 ( 1.34) |

| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-02-27 05:25 | 343.4 |  2.73 (0.04) |   0.21 (0.05) |  -0.15 (0.02) |   9.57 (1.15) | -17.85 ( 3.49) |
|2020-02-27 07:36 | 343.4 |  2.65 (0.02) |   0.18 (0.01) |  -0.15 (0.02) |   8.70 (0.78) | -19.70 ( 2.47) |
|2020-02-28 02:52 | 343.4 |  2.84 (0.03) |   0.19 (0.04) |  -0.13 (0.02) |   8.14 (0.98) | -16.55 ( 3.09) |
|2021-01-28 07:34 | 343.4 |  1.73 (0.01) |   0.19 (0.00) |  -0.08 (0.00) |  12.11 (0.34) | -11.55 ( 0.28) |
|2021-02-07 04:11 | 343.4 |  1.84 (0.03) |   0.15 (0.00) |  -0.08 (0.00) |   9.40 (0.35) | -13.34 ( 0.41) |
|2021-02-07 06:33 | 343.4 |  1.75 (0.01) |   0.16 (0.02) |  -0.07 (0.00) |  10.09 (0.35) | -11.37 ( 1.12) |
|2021-02-08 03:13 | 343.4 |  1.65 (0.01) |   0.13 (0.00) |  -0.07 (0.00) |   9.18 (0.34) | -14.33 ( 0.38) |
|2021-02-08 04:24 | 343.4 |  1.73 (0.02) |   0.15 (0.01) |  -0.08 (0.00) |   9.70 (0.39) | -13.29 ( 0.62) |


J1331+3030 (3C 286)
| Date      Time  | Freq. |   I   (err)  |    Q   (err)  |    U   (err)  |    P   (err)  |  EVPA   (err)  |
|            UTC  |   GHz |         Jy   |          Jy   |          Jy   |          %    |          deg.  |
|:----------------+-------+--------------+---------------+---------------+---------------+---------------:|
|2020-03-04 02:28 |  97.5 |  0.75 (0.01) |   0.04 (0.01) |   0.11 (0.01) |  15.16 (1.42) |  35.47 ( 2.66) |
|2020-03-04 06:38 |  97.5 |  0.78 (0.02) |   0.03 (0.00) |   0.10 (0.00) |  14.09 (0.59) |  36.48 ( 0.94) |
|2020-03-15 03:08 |  97.5 |  0.77 (0.01) |   0.03 (0.01) |   0.10 (0.00) |  14.26 (0.61) |  36.33 ( 2.69) |
|2020-03-16 00:59 |  97.5 |  0.77 (0.01) |   0.03 (0.01) |   0.10 (0.01) |  13.63 (0.97) |  36.23 ( 2.16) |
|2020-03-17 02:05 |  97.5 |  0.76 (0.01) |   0.02 (0.01) |   0.10 (0.00) |  13.51 (0.88) |  39.75 ( 3.23) |
